Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
240,DP,MTL101,LINEAR ALGEBRA & DIFFE. EQUA.,4,03-01-00,AMIT PRIYADARSHI,230,20
,2,,,,,,460,51
241,E,AML702,APPLIED COMPUTATIONAL METHOD,4,3-0-2,ANUPAM DEWAN,25,27
242,E,APL102,INTR.TO MATERIAL SC. & ENGG.,4,3-0-2,JAYANT JAIN,200,145
243,E,APL734,Advanced Dynamics,3,3-0-0,SITIKANTHA ROY,90,10
244,E,ASL737,PHYSICAL AND DYNAMICAL OCEANOGRAPHY,3,3-0-0,A.D. RAO,50,13
245,E,ASL757,TROPICAL WEATHER AND CLIMATE,3,3-0-0,SAROJ KANTA MISHRA,65,106
246,E,BEL712,PLANT CELL TECHNOLOGY,3,2-0-2,A.K. SRIVASTAVA,60,45
247,E,BEL721,BIONANOTECHNOLOGY,3,3-0-0,PRASHANT MISHRA,60,23
248,E,BER350,PROFESSIONAL PRACTICES (BB),2,0-1-2,V.S. BISARIA,60,3
249,E,CEL836,STRUCTURAL HEALTH MONITORING,3,2-0-2,SURESH BHALLA,30,1
250,E,CHL727,HETEROGENEOUS CATALYSIS AND CATALYTIC REACTORS,4,3-0-2,KAMAL KISHORE PANT,40,74
251,E,CLL727,HETERO. CATALYSIS & CATA. REA.,3,3-0-0,KAMAL KISHORE PANT,30,6
252,E,CLL771,INTRODUCTION TO COMPLEX FLUIDS,3,3-0-0,VIKRAM SINGH,70,18
